,active_1.0,addresscat_2.0,addresscat_3.0,addresscat_4.0,addresscat_5.0,agecat_3.0,agecat_4.0,agecat_5.0,agecat_6.0,bfast_2.0,bfast_3.0,birthmonth_August,birthmonth_December,birthmonth_February,birthmonth_January,birthmonth_July,birthmonth_June,birthmonth_March,birthmonth_May,birthmonth_November,birthmonth_October,birthmonth_September,callcard_1.0,callid_1.0,callwait_1.0,carbought_0.0,carbought_1.0,carbuy_1.0,carcatvalue_1.0,carcatvalue_2.0,carcatvalue_3.0,card2_2.0,card2_3.0,card2_4.0,card2_5.0,card2benefit_2.0,card2benefit_3.0,card2benefit_4.0,card2fee_1.0,card2spent,card2tenurecat_2.0,card2tenurecat_3.0,card2tenurecat_4.0,card2tenurecat_5.0,card2type_2.0,card2type_3.0,card2type_4.0,card_2.0,card_3.0,card_4.0,card_5.0,cardbenefit_2.0,cardbenefit_3.0,cardbenefit_4.0,cardfee_1.0,cardmon,cardspent,cardten,cardtype_2.0,cardtype_3.0,cardtype_4.0,carown_0.0,carown_1.0,cars_1.0,cars_2.0,cars_3.0,cars_4.0,cars_5.0,cars_6.0,cartype_0.0,cartype_1.0,carvalue,churn_1.0,commutebike_1.0,commutebus_1.0,commutecar_1.0,commutecarpool_1.0,commutecat_2.0,commutecat_3.0,commutecat_4.0,commutecat_5.0,commutemotorcycle_1.0,commutenonmotor_1.0,commutepublic_1.0,commuterail_1.0,commutetime,commutewalk_1.0,confer_1.0,debtinc,default_1.0,ebill_1.0,edcat_2.0,edcat_3.0,edcat_4.0,edcat_5.0,empcat_2.0,empcat_3.0,empcat_4.0,empcat_5.0,employ,equip_1.0,equipten,forward_1.0,gender_1.0,homeown_1.0,hometype_2.0,hometype_3.0,hometype_4.0,hourstv,inccat_2.0,inccat_3.0,inccat_4.0,inccat_5.0,income,internet_1.0,internet_2.0,internet_3.0,internet_4.0,jobcat_2.0,jobcat_3.0,jobcat_4.0,jobcat_5.0,jobcat_6.0,jobsat_2.0,jobsat_3.0,jobsat_4.0,jobsat_5.0,lnlongmon,lnothdebt,longmon,multline_1.0,news_1.0,othdebt,owncd_1.0,owndvd_1.0,ownfax_1.0,owngame_1.0,ownipod_1.0,ownpc_1.0,ownpda_1.0,owntv_1.0,ownvcr_1.0,pager_1.0,pets,pets_birds_1.0,pets_birds_2.0,pets_birds_3.0,pets_birds_4.0,pets_cats_1.0,pets_cats_2.0,pets_cats_3.0,pets_cats_4.0,pets_dogs_1.0,pets_dogs_2.0,pets_dogs_3.0,pets_dogs_4.0,pets_freshfish_1.0,pets_freshfish_10.0,pets_freshfish_11.0,pets_freshfish_12.0,pets_freshfish_2.0,pets_freshfish_3.0,pets_freshfish_4.0,pets_freshfish_5.0,pets_freshfish_6.0,pets_freshfish_7.0,pets_freshfish_8.0,pets_freshfish_9.0,pets_reptiles_1.0,pets_reptiles_2.0,pets_reptiles_3.0,pets_small_1.0,pets_small_2.0,pets_small_3.0,pets_small_4.0,polcontrib_1.0,polparty_1.0,polview_2.0,polview_3.0,polview_4.0,polview_5.0,polview_6.0,polview_7.0,reason_2.0,reason_3.0,reason_4.0,reason_9.0,region_2.0,region_3.0,region_4.0,region_5.0,reside_2.0,reside_3.0,reside_4.0,reside_5.0,reside_6.0,reside_7.0,response_01_1.0,response_02_1.0,response_03_1.0,retire_1.0,spousedcat_1.0,spousedcat_2.0,spousedcat_3.0,spousedcat_4.0,spousedcat_5.0,telecommute_1.0,tollfree_1.0,tollmon,tollten,townsize_2.0,townsize_3.0,townsize_4.0,townsize_5.0,union_1.0,voice_1.0,vote_1.0,wireless_1.0,wiremon,wireten
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,67.8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14.25,81.66,60.0,0,0,0,0,1,0,1,0,0,0,0,1,0,14.3,1,0,0,0,1,0,0,1,0,1,0,0,0,22.0,1,1,11.1,1,0,0,1,0,0,0,0,0,0,0.0,1,126.1,1,1,0,1,0,0,13.0,1,0,0,0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0.81,6.5,1,0,2.24,0,1,0,1,1,0,0,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,29.0,161.05,1,0,0,0,1,1,1,0,0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,34.94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.0,42.6,610.0,0,0,1,0,1,0,1,0,0,0,0,0,1,6.8,0,1,1,1,0,0,0,0,0,0,1,0,0,29.0,0,0,18.6,1,1,0,0,1,0,0,0,0,0,0.0,1,1975.0,1,0,1,0,1,0,18.0,0,0,0,0,15.0,0,0,0,1,1,0,0,0,0,0,0,0,0,2.19,0.45,8.9,1,1,1.57,1,1,1,1,1,1,1,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,1,0,1,0,1,45.65,1683.55
2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,175.75,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,23.0,184.22,1410.0,0,0,0,0,1,0,0,1,0,0,0,0,1,18.8,0,0,1,1,1,0,1,0,0,0,0,0,1,24.0,0,0,9.9,0,0,1,0,0,0,0,0,0,1,16.0,0,0.0,0,1,1,0,0,0,21.0,1,0,0,0,35.0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.35,0.93,28.4,1,1,2.54,1,1,0,0,0,0,0,1,1,0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,18.42,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,21.0,340.99,685.0,0,0,0,0,1,0,0,1,0,0,0,0,1,8.7,0,0,0,1,0,0,0,0,0,0,0,0,0,38.0,0,0,5.7,1,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,1,0,26.0,0,0,0,0,20.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.79,0.11,6.0,1,1,1.12,1,1,0,1,1,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0
4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,252.73,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,17.25,255.1,360.0,1,0,0,1,0,1,0,0,0,0,0,0,1,10.6,0,0,0,0,0,0,1,0,0,0,0,1,0,32.0,1,1,1.7,0,0,0,1,0,0,0,0,0,0,1.0,0,0.0,1,0,0,1,0,0,27.0,0,0,0,0,23.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.12,-1.74,3.05,0,0,0.18,1,1,0,1,0,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,16.5,387.7,1,0,0,0,0,1,0,1,19.05,410.8
5,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,28.25,228.27,765.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,23.0,1,1,5.6,0,0,0,0,1,0,0,0,0,1,22.0,1,970.95,1,0,1,0,0,0,21.0,0,0,1,0,107.0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.09,1.6,8.1,0,0,4.93,1,1,0,0,0,0,1,1,1,1,11.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,26.75,726.6,0,0,1,0,0,0,0,0,0.0,0.0
6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,130.14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,822.32,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,25.6,0,1,1,1,0,0,1,0,0,0,0,0,0,32.0,1,0,1.9,0,0,1,0,0,0,0,1,0,0,10.0,0,0.0,1,1,0,0,1,0,19.0,0,0,1,0,77.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.34,-0.04,3.8,0,0,0.96,1,1,0,0,1,1,0,1,1,0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0
7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,712.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,14.5,592.7,630.0,0,0,0,0,1,1,0,0,0,0,0,1,0,55.5,0,0,0,0,0,0,1,0,0,0,0,0,1,31.0,0,1,14.4,0,0,0,1,0,0,0,0,1,0,11.0,0,0.0,1,1,1,0,1,0,13.0,0,0,1,0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7,2.08,14.85,1,1,8.02,1,1,0,0,0,0,0,1,1,0,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24.0,1110.4,0,0,1,0,0,0,1,0,0.0,0.0
8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,141.24,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,15.5,326.59,830.0,0,0,1,0,1,1,0,0,0,0,0,0,1,8.6,0,0,1,1,0,0,1,0,0,1,0,0,1,25.0,0,0,2.6,0,0,1,0,0,0,0,0,1,0,15.0,0,0.0,0,1,1,0,0,0,25.0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.05,-1.16,21.05,1,0,0.31,1,1,0,0,0,0,0,1,1,0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0.0
9,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,111.17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,199.64,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,41.0,1,0,0,1,0,0,0,0,0,1,0,0,0,29.0,0,0,4.1,0,0,0,0,0,0,0,0,0,1,19.0,0,0.0,0,0,1,0,0,0,21.0,0,0,1,0,84.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.29,0.52,3.65,0,0,1.67,1,1,0,0,0,0,0,1,1,0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1,0,0.0,0.0
